code	url	creator	created_t	last_modified_t	product_name	generic_name	quantity	packaging	packaging_tags	brands	brands_tags	categories	categories_tags	origins	origins_tags	manufacturing_places	manufacturing_places_tags	labels	labels_tags	emb_codes	emb_codes_tags	cities	cities_tags	purchase_places	stores	countries	ingredients_text	allergens	allergens_tags	traces	traces_tags	serving_size	serving_quantity	no_nutriments	additives_n	additives_tags	ingredients_from_palm_oil_n	ingredients_from_palm_oil	ingredients_from_palm_oil_tags	ingredients_that_may_be_from_palm_oil_n	ingredients_that_may_be_from_palm_oil	ingredients_that_may_be_from_palm_oil_tags	nutrition_grade_fr	nova_group	pnns_groups_1	pnns_groups_2	states	main_category	image_url	image_small_url	image_front_url	image_front_small_url	image_ingredients_url	image_ingredients_small_url	image_nutrition_url	image_nutrition_small_url	energy-kj_100g	energy-kcal_100g	energy_100g	energy-from-fat_100g	fat_100g	saturated-fat_100g	-butyric-acid_100g	-caproic-acid_100g	-caprylic-acid_100g	-capric-acid_100g	-lauric-acid_100g	-myristic-acid_100g	-palmitic-acid_100g	-stearic-acid_100g	-arachidic-acid_100g	-behenic-acid_100g	-lignoceric-acid_100g	-cerotic-acid_100g	-montanic-acid_100g	-melissic-acid_100g	monounsaturated-fat_100g	polyunsaturated-fat_100g	omega-3-fat_100g	-alpha-linolenic-acid_100g	-eicosapentaenoic-acid_100g	-docosahexaenoic-acid_100g	omega-6-fat_100g	-linoleic-acid_100g	-arachidonic-acid_100g	-gamma-linolenic-acid_100g	-dihomo-gamma-linolenic-acid_100g	omega-9-fat_100g	-oleic-acid_100g	-elaidic-acid_100g	-gondoic-acid_100g	-mead-acid_100g	-erucic-acid_100g	-nervonic-acid_100g	trans-fat_100g	cholesterol_100g	carbohydrates_100g	sugars_100g	-sucrose_100g	-glucose_100g	-fructose_100g	-lactose_100g	-maltose_100g	-maltodextrins_100g	starch_100g	polyols_100g	fiber_100g	proteins_100g	casein_100g	serum-proteins_100g	nucleotides_100g	salt_100g	sodium_100g	alcohol_100g	vitamin-a_100g	beta-carotene_100g	vitamin-d_100g	vitamin-e_100g	vitamin-k_100g	vitamin-c_100g	vitamin-b1_100g	vitamin-b2_100g	vitamin-pp_100g	vitamin-b6_100g	vitamin-b9_100g	folates_100g	vitamin-b12_100g	biotin_100g	pantothenic-acid_100g	silica_100g	bicarbonate_100g	potassium_100g	chloride_100g	calcium_100g	phosphorus_100g	iron_100g	magnesium_100g	zinc_100g	copper_100g	manganese_100g	fluoride_100g	selenium_100g	chromium_100g	molybdenum_100g	iodine_100g	caffeine_100g	taurine_100g	ph_100g	fruits-vegetables-nuts_100g	fruits-vegetables-nuts-dried_100g	fruits-vegetables-nuts-estimate_100g	collagen-meat-protein-ratio_100g	cocoa_100g	chlorophyl_100g	carbon-footprint_100g	carbon-footprint-from-meat-or-fish_100g	nutrition-score-fr_100g	nutrition-score-uk_100g	glycemic-index_100g	water-hardness_100g	choline_100g	phylloquinone_100g	beta-glucan_100g	inositol_100g	carnitine_100g
0000651511016	https://world.openfoodfacts.org/product/0000651511016	usda-ndb-import	1489090279	1564103431	Celery					Ocean Mist	ocean-mist	en:celery	en:plant-based-foods-and-beverages,en:plant-based-foods,en:groceries,en:condiments,en:fruits-and-vegetables-based-foods,en:culinary-plants,en:vegetables-based-foods,en:vegetable-rods,en:celery													United States	Celery		en:celery			110 g (2 MEDIUM STALKS)	110		0		0			0			a	1	Fruits and vegetables	Vegetables	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded	en:celery										59	59		0	0																																	0	0	3.64	1.82									1.8	0				0.2667	0.10668		5.46e-05					0.0082														0.036		0.00033																					-5	-5							
0002000001186	https://world.openfoodfacts.org/product/0002000001186	kiliweb	1523869999	1566592573	Coeur de laitue		70 g			Monoprix	monoprix							en:no-preservatives	en:no-preservatives							France																			unknown	unknown	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:photos-uploaded		https://static.openfoodfacts.org/images/products/000/200/000/1186/front_fr.4.400.jpg	https://static.openfoodfacts.org/images/products/000/200/000/1186/front_fr.4.200.jpg	https://static.openfoodfacts.org/images/products/000/200/000/1186/front_fr.4.400.jpg	https://static.openfoodfacts.org/images/products/000/200/000/1186/front_fr.4.200.jpg	https://static.openfoodfacts.org/images/products/000/200/000/1186/ingredients_fr.7.400.jpg	https://static.openfoodfacts.org/images/products/000/200/000/1186/ingredients_fr.7.200.jpg				59	59		0	0																																			2	1.3										1				0.03	0.012																																																				
0002000003012	https://world.openfoodfacts.org/product/0002000003012	kiliweb	1523789529	1566592566	The glace saveur peche							"Aliments et boissons à base de végétaux, Boissons, Boissons à base de végétaux, Boissons chaudes, Thés, Thés glacés, Thés glacés saveur pêche, Boissons au thé"	en:plant-based-foods-and-beverages,en:beverages,en:hot-beverages,en:plant-based-beverages,en:teas,en:iced-teas,en:tea-based-beverages,en:peach-flavored-iced-teas,en:non-alcoholic-beverages					en:no-artificial-flavors	en:no-artificial-flavors							France																	c		Beverages	Teas and herbal teas and coffees	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-to-be-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-validated, en:photos-uploaded	en:peach-flavored-iced-teas	https://static.openfoodfacts.org/images/products/000/200/000/3012/front_fr.4.400.jpg	https://static.openfoodfacts.org/images/products/000/200/000/3012/front_fr.4.200.jpg	https://static.openfoodfacts.org/images/products/000/200/000/3012/front_fr.4.400.jpg	https://static.openfoodfacts.org/images/products/000/200/000/3012/front_fr.4.200.jpg	https://static.openfoodfacts.org/images/products/000/200/000/3012/ingredients_fr.7.400.jpg	https://static.openfoodfacts.org/images/products/000/200/000/3012/ingredients_fr.7.200.jpg				59	59		0.5	0.1																																			3	3										0.5				0.01	0.004																																												4	0							
0011110786043	https://world.openfoodfacts.org/product/0011110786043	usda-ndb-import	1489093794	1550522060	Whole Green Chile					Kroger	kroger														Kroger	United States	Green chile peppers, water, salt, contains 2% or less of: citric acid and calcium chloride.					35 g (1 CHILE)	35		1	en:e330	0			0					unknown	unknown	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded											59	59		0	0																																	0	0	2.86	0									2.9	0				0.79756	0.319024		0					0.0171														0		0																													
0011110802200	https://world.openfoodfacts.org/product/0011110802200	usda-ndb-import	1489061260	1550522071	Chopped Mixed Greens					Kroger	kroger														Kroger	United States	Ingredients: turnip greens, mustard greens, water, salt.					115 g (0.5 cup)	115		0		0			0					unknown	unknown	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded											54	54		0	0																																	0	0	2.61	0									1.7	0.87				0.53086	0.212344		0.0003261					0.0183														0.087		0.00063																													
0011110825872	https://world.openfoodfacts.org/product/0011110825872	usda-ndb-import	1489062867	1562744387	Bean Sprouts					Kroger	kroger	en:fresh-mung-bean-sprouts	en:plant-based-foods-and-beverages,en:plant-based-foods,en:legumes-and-their-products,en:fresh-foods,en:fresh-plant-based-foods,en:sprouts,en:fresh-sprouts,en:fresh-legume-sprouts,en:fresh-mung-bean-sprouts												Kroger	United States	Bean sprouts, water, salt, citric acid (to protect color).					142 g (0.666 cup)	142		1	en:e330	0			0			b	3	Cereals and potatoes	Legumes	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded	en:fresh-mung-bean-sprouts										59	59		0	0																																	0	0	2.11	0									0.7	0.7				0.0889	0.03556		0.0001056					0.0017														0.028		0.00025																					0	0							
0011110825896	https://world.openfoodfacts.org/product/0011110825896	usda-ndb-import	1489062869	1550522127	Stir-Fry Vegetables					Kroger	kroger														Kroger	United States	Water, bean sprouts, celery, carrots, water chestnuts, bamboo shoots, mushrooms, baby cob corn, red peppers, contains 2% or less of: salt, sugar, dehydrated garlic, ascorbic and citric acid (to protect color and flavor).		en:celery			116 g (0.5 cup)	116		1	en:e330	0			0					unknown	unknown	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded											54	54		0	0																																	0	0	3.45	0.86									1.7	0.86				0.3937	0.15748		0.0004527					0.0181														0		0.00093																													
0011110829245	https://world.openfoodfacts.org/product/0011110829245	usda-ndb-import	1489061276	1489061276	Chopped Collard Greens																					United States	Ingredients: collard greens, water, salt.					115 g (0.5 cup)	115		0		0			0					unknown	unknown	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:brands-to-be-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded											54	54		0	0																																	0	0	3.48	0									0.9	0.87				0.53086	0.212344		0.0004566					0.0078														0.017		0																													
0011110847003	https://world.openfoodfacts.org/product/0011110847003	usda-ndb-import	1489075831	1489075831	Guayusa Tea Energy Beverage, Hibiscus Berry					Simple Truth Organic,  The Kroger Co.	simple-truth-organic,the-kroger-co															United States	Water, *organic cane sugar, *organic guayusa concentrate, *organic guayusa aroma, organic hibiscus extract, natural flavor, organic blueberry flavor, organic yumberry flavor, citric acid, ascorbic acid (vitamin c).					473 ml (1 CONTAINER)	473		1	en:e330	0			0				4	unknown	unknown	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded											54	54		0																																				2.96	2.75										0				0	0		0					0.0025														0.004		0.00015																													
0014500014818	https://world.openfoodfacts.org/product/0014500014818	usda-ndb-import	1489138627	1489138627	Mushroom Blend					Birds Eye	birds-eye															United States	White mushrooms, crimini mushrooms, portobello mushrooms.					77 g (0.75 cup)	77		0		0			0					unknown	unknown	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded											54	54		0	0																																	0	0	1.3	1.3									1.3	1.3				0.01524	0.006096		0					0														0		0.00047																													
